run_id,game_id,cutoff_utc,season,week,home_team,away_team,kickoff_utc,model_id,data_mode,forecast_policy,mu_home_score,mu_away_score,dist_mean_home_score,dist_mean_away_score,mean_margin,mean_total,p_home_win,p_tie,p_away_win,p_home_win_given_no_tie,fair_decimal_home,fair_decimal_away,fair_american_home,fair_american_away,mean_home_handicap,fair_home_handicap,fair_home_handicap_p_win,fair_home_handicap_p_push,fair_home_handicap_p_loss,fair_total,fair_total_p_over,fair_total_p_push,fair_total_p_under,negative_latent_mass,omitted_upper_mass,max_score_support,clipped_negative_cells,warnings,data_quality_flags,schema_version,feature_version,config_hash,features_hash,neutral_site,margin_q50_lo,margin_q50_hi,total_q50_lo,total_q50_hi,margin_q80_lo,margin_q80_hi,total_q80_lo,total_q80_hi,margin_q95_lo,margin_q95_hi,total_q95_lo,total_q95_hi,p_margin_0,p_margin_3,p_margin_-3,p_margin_7,p_margin_-7,p_total_even,as_of_utc
forecast-20260916T175305Z-6f5afe,2026_02_DET_BUF,2026-09-17 00:15:00+00:00,2026,2,BUF,DET,2026-09-18 00:15:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,28.6626638941429,23.101040953031475,28.666370587395846,23.11977101541687,5.546599571978975,51.786141602812705,0.6501799224085942,0.027803540644778926,0.32201653694662685,0.6687742134339861,1.4952729634494328,3.019088611329173,-201.90886113291734,201.90886113291725,-5.546599571978975,-5.5,0.5018446046963273,0.0,0.4981553953036727,52.0,0.4782917080884648,0.029512862071914187,0.49219542983962106,0.006540506944710138,3.0309088572266774e-14,100,0,,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-3,14,43,61,-11,22,34,69,-20,31,25,78,0.027803540644778926,0.0298326856982494,0.024576222191662427,0.030230703820239117,0.019232504334840868,0.5000055199419037,
forecast-20260916T175305Z-6f5afe,2026_02_CAR_ATL,2026-09-19 17:00:00+00:00,2026,2,ATL,CAR,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,24.44606549099849,21.4493813597176,24.462196338869685,21.48149209827476,2.9807042405949167,45.943688437144445,0.5754278619331833,0.029696653688433834,0.3948754843783829,0.5930391398943113,1.6862293442861382,2.457238761831537,-145.72387618315378,145.72387618315375,-2.9807042405949167,-3.0,0.4846132337130895,0.03042065787273502,0.4849661084141755,46.0,0.4822098383130322,0.029526765781282768,0.488263395905685,0.013390510551848188,6.661338147750939e-16,100,0,negative_latent_mass=0.0134 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-6,12,37,55,-14,20,29,63,-23,28,20,72,0.029696653688433834,0.03042065787273502,0.027403257139978578,0.0290570310321715,0.022772717584111684,0.5000334251263452,
forecast-20260916T175305Z-6f5afe,2026_02_CIN_HOU,2026-09-19 17:00:00+00:00,2026,2,HOU,CIN,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,26.421241998576683,23.06071702179556,26.429514074911825,23.079701339458836,3.3498127354529896,49.50921541437066,0.5862891634781832,0.02944831123982183,0.384262525281995,0.6040782477305588,1.6554146813874961,2.525751601845454,-152.5751601845454,152.5751601845454,-3.3498127354529896,-3.5,0.4957270805188547,0.0,0.5042729194811453,49.5,0.4994889637108212,0.0,0.5005110362891788,0.007899042945687147,4.6629367034256575e-15,100,0,,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-5,12,40,59,-13,20,32,67,-22,29,23,76,0.02944831123982183,0.030398115056861626,0.027038576261338185,0.02927142545059075,0.02227265553717578,0.5000115510274566,
forecast-20260916T175305Z-6f5afe,2026_02_CLE_TB,2026-09-19 17:00:00+00:00,2026,2,TB,CLE,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,23.61553227894661,17.644500418274507,23.636660514605392,17.74492999473147,5.891730519873924,41.38159050933687,0.6615304721716326,0.027671999532146736,0.31079752829622065,0.6803573196013333,1.469815891134921,3.1284933499893506,-212.849334998935,212.84933499893506,-5.891730519873924,-6.0,0.4833434009915826,0.03050951937385735,0.48614707963456005,41.5,0.49329143722352564,0.0,0.5067085627764744,0.030687555568897604,1.1102230246251565e-16,100,0,negative_latent_mass=0.0307 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-3,15,32,50,-11,23,24,59,-20,31,16,68,0.027671999532146736,0.02969645024195993,0.02410206523019062,0.03043349491177128,0.018703383513517583,0.5001142952860724,
forecast-20260916T175305Z-6f5afe,2026_02_GB_NYJ,2026-09-19 17:00:00+00:00,2026,2,NYJ,GB,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,21.340162303362984,23.838431132897455,21.382990386816033,23.853026410648717,-2.470036023832687,45.236016797464735,0.40957008111116655,0.02994676411960083,0.5604831547692326,0.42221402492353904,2.3684670356014235,1.7307446756001055,136.84670356014232,-136.84670356014232,2.470036023832687,2.5,0.5001375093331384,0.0,0.4998624906668616,45.0,0.4905757188704478,0.02952961101452115,0.479894670115031,0.015466342359823292,-2.220446049250313e-16,100,0,negative_latent_mass=0.0155 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-11,6,36,54,-19,14,28,62,-28,23,19,72,0.02994676411960083,0.02786241430216194,0.03040470299317414,0.023421443552937092,0.02871629216106408,0.5000393602271934,
forecast-20260916T175305Z-6f5afe,2026_02_MIN_CHI,2026-09-19 17:00:00+00:00,2026,2,CHI,MIN,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,27.543095374879137,21.300835771630968,27.54866375964624,21.334497120666025,6.214166638980209,48.88316088031227,0.6691836916731269,0.027180867926533726,0.30363544040033946,0.6878808913295414,1.4537400480295248,3.203905086938523,-220.39050869385235,220.39050869385227,-6.214166638980209,-6.0,0.4920760264655243,0.030415946342133,0.4775080271923427,49.0,0.48068771274188193,0.029524303564186907,0.4897879836939312,0.01093377668099024,1.2101430968414206e-14,100,0,negative_latent_mass=0.0109 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-3,15,40,58,-11,23,32,66,-19,32,23,75,0.027180867926533726,0.02949796357140767,0.02372952059543608,0.03037457660202351,0.018281238129298345,0.5000133785736498,
forecast-20260916T175305Z-6f5afe,2026_02_NO_BAL,2026-09-19 17:00:00+00:00,2026,2,BAL,NO,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,25.686657143113017,20.684905022945195,25.697307184460644,20.725741748302717,4.971565436157921,46.423048932763365,0.6342216558452842,0.02833757785919787,0.3374407662955179,0.6527181059939973,1.5320549419678524,2.8795051434000625,-187.9505143400062,187.95051434000624,-4.971565436157921,-5.0,0.4847248578263359,0.030429097801724675,0.48484604437193946,46.5,0.4962868681523611,0.0,0.5037131318476389,0.014118596607033946,2.4424906541753444e-15,100,0,negative_latent_mass=0.0141 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-4,14,37,55,-12,22,29,64,-21,30,20,73,0.02833757785919787,0.030068382357769555,0.025255990528246838,0.030090233855863256,0.020030810862384427,0.500028444639193,
forecast-20260916T175305Z-6f5afe,2026_02_PHI_TEN,2026-09-19 17:00:00+00:00,2026,2,TEN,PHI,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,18.727860656133053,23.38711955094186,18.818790407780124,23.4041330254506,-4.585342617670484,42.222923433230726,0.34697538507058623,0.028742768527149715,0.624281846402264,0.3572435538466159,2.7992107603692533,1.555799254888165,179.92107603692534,-179.92107603692534,4.585342617670484,4.5,0.49547136784916423,0.0,0.5045286321508358,42.0,0.48886223700600984,0.0295751179030657,0.48156264509092445,0.027069540645076405,-2.220446049250313e-16,100,0,negative_latent_mass=0.0271 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-13,4,33,51,-21,12,25,59,-30,21,17,69,0.028742768527149715,0.025665977535388896,0.030215151269872065,0.02052441689438008,0.030035277293972904,0.5000866160055535,
forecast-20260916T175305Z-6f5afe,2026_02_PIT_NE,2026-09-19 17:00:00+00:00,2026,2,NE,PIT,2026-09-20 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,26.31912750900903,18.568551015407927,26.327697924981827,18.645672088018518,7.682025836963308,44.97337001300034,0.7097059625358209,0.025629101936249232,0.26466493552792997,0.7283735217730061,1.3729219557100332,3.6815262139662086,-268.15262139662093,268.1526213966209,-7.682025836963308,-7.5,0.5073052037093482,0.0,0.4926947962906518,45.0,0.4821402473409854,0.029566163045314005,0.4882935896137006,0.022178972972622533,4.440892098500626e-15,100,0,negative_latent_mass=0.0222 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-1,17,36,54,-9,24,28,62,-18,33,19,71,0.025629101936249232,0.028501942663806592,0.021747973925861412,0.030415593500282945,0.016182801485926195,0.5000405558677418,
forecast-20260916T175305Z-6f5afe,2026_02_JAX_DEN,2026-09-19 20:05:00+00:00,2026,2,DEN,JAX,2026-09-20 20:05:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,20.437868033359198,24.6410712172564,20.493805136887868,24.652127456798063,-4.158322319910204,45.145932593685934,0.35994386914783794,0.028971074842159297,0.6110850560100027,0.37068295271361673,2.6977231962770696,1.5890241720163192,169.77231962770696,-169.77231962770696,4.158322319910204,4.0,0.4787407087390101,0.030431671687547242,0.4908276195734427,45.0,0.48766260316683396,0.029539428256621293,0.4827979685765447,0.01759354797062074,-2.220446049250313e-16,100,0,negative_latent_mass=0.0176 exceeds 0.01,cutoff_in_future_features_from_current_cache,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,cb4ad2da5dea82dd9b7474558dcea87ad224e5790403d1a8748f4b0e07206d98,False,-13,5,36,54,-21,13,28,62,-29,21,19,72,0.028971074842159297,0.026163419662735592,0.030301369282732023,0.021138169754495787,0.029777753715173258,0.5000387137853896,
