run_id,game_id,cutoff_utc,season,week,home_team,away_team,kickoff_utc,model_id,data_mode,forecast_policy,mu_home_score,mu_away_score,dist_mean_home_score,dist_mean_away_score,mean_margin,mean_total,p_home_win,p_tie,p_away_win,p_home_win_given_no_tie,fair_decimal_home,fair_decimal_away,fair_american_home,fair_american_away,mean_home_handicap,fair_home_handicap,fair_home_handicap_p_win,fair_home_handicap_p_push,fair_home_handicap_p_loss,fair_total,fair_total_p_over,fair_total_p_push,fair_total_p_under,negative_latent_mass,omitted_upper_mass,max_score_support,clipped_negative_cells,warnings,data_quality_flags,schema_version,feature_version,config_hash,features_hash,neutral_site,margin_q50_lo,margin_q50_hi,total_q50_lo,total_q50_hi,margin_q80_lo,margin_q80_hi,total_q80_lo,total_q80_hi,margin_q95_lo,margin_q95_hi,total_q95_lo,total_q95_hi,p_margin_0,p_margin_3,p_margin_-3,p_margin_7,p_margin_-7,p_total_even,model_created_utc,training_data_mode,horizon,information_time_utc
forecast-20260916T182937Z-1388f7,2026_01_NE_SEA,2026-09-09 00:20:00+00:00,2026,1,SEA,NE,2026-09-10 00:20:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,23.891590093570013,23.93654518818497,23.910919384343607,23.950658228636815,-0.03973884429321295,47.86157761298042,0.48341176574942424,0.030445952764756545,0.4861422814858192,0.4985918702808878,2.0056484263103562,1.9943832992101618,100.56484263103563,-100.56484263103569,0.03973884429321295,0.0,0.48341176574942424,0.030445952764756545,0.4861422814858192,48.0,0.4801945868461839,0.02951655772700665,0.49028885542680944,0.00952848319723316,5.551115123125783e-16,100,0,,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-9,9,39,57,-17,17,31,65,-26,26,22,74,0.030445952764756545,0.029604032101867593,0.029652416757344913,0.026340124172222094,0.026441898730612683,0.500018953187039,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-09 00:20:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_SF_LA,2026-09-10 00:35:00+00:00,2026,1,LA,SF,2026-09-11 00:35:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,27.415089054316024,24.87956913458614,27.42091820303581,24.88973694719656,2.5311812558392575,52.310655150232385,0.5616461274389585,0.02985128912614503,0.4085025834348965,0.5789278706901125,1.7273309001481434,2.374890025704008,-137.4890025704008,137.4890025704008,-2.5311812558392575,-2.5,0.5010698951238094,0.0,0.4989301048761906,52.5,0.4939456496253649,0.0,0.5060543503746351,0.0048182240458687735,1.1102230246251565e-14,100,0,,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,True,-6,11,43,61,-14,19,35,70,-23,28,26,79,0.02985128912614503,0.03038642745505991,0.027816951182763148,0.02870011979007547,0.02335388463380114,0.5000048319444089,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-10 00:35:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_ATL_PIT,2026-09-12 17:00:00+00:00,2026,1,PIT,ATL,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,23.920926885194213,21.001271158743897,23.940073443052516,21.03826662221603,2.9018068208364785,44.97834006526855,0.5731138133916569,0.029760148447766692,0.39712603816057634,0.5906929224508389,1.6929270048655884,2.4431534533626342,-144.31534533626333,144.3153453362634,-2.9018068208364785,-3.0,0.48224789856892136,0.030425043847710477,0.48732705758336814,45.0,0.48301458003949416,0.02953166411094329,0.4874537558495626,0.015391592868001217,3.3306690738754696e-16,100,0,negative_latent_mass=0.0154 exceeds 0.01,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-6,12,36,54,-14,20,28,62,-23,28,19,71,0.029760148447766692,0.030425043847710477,0.027480590341696757,0.029013423033937325,0.022881078340271796,0.5000440952593508,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_BAL_IND,2026-09-12 17:00:00+00:00,2026,1,IND,BAL,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,24.336767141897884,23.28868184203972,24.35348734475026,23.30626908085443,1.0472182638958296,47.65975642560469,0.5166391023607695,0.030352317938320578,0.4530085797009099,0.5328111559677879,1.8768375789422411,2.1404620696187924,-114.04620696187928,114.04620696187926,-1.0472182638958296,-1.0,0.4862301028780014,0.030408999482768054,0.48336089763923057,47.5,0.5037300708082992,0.0,0.49626992919170076,0.009786312829345055,5.551115123125783e-16,100,0,,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-8,10,39,57,-16,18,30,65,-25,27,21,74,0.030352317938320578,0.03007836642890883,0.02900078793795807,0.027451557252899307,0.02521240939675954,0.5000202694911261,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_BUF_HOU,2026-09-12 17:00:00+00:00,2026,1,HOU,BUF,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,23.269860865593333,23.090015457528853,23.293455960904293,23.108814729290597,0.18464123161369805,46.40227069019489,0.4902326144771688,0.030466707623037804,0.47930067789979336,0.5056377314030002,1.9777005114418298,2.022808097466662,-102.28080974666616,102.28080974666616,-0.18464123161369805,0.0,0.4902326144771688,0.030466707623037804,0.47930067789979336,46.5,0.49589923557451054,0.0,0.5041007644254895,0.011871423124554288,1.1102230246251565e-16,100,0,negative_latent_mass=0.0119 exceeds 0.01,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-9,9,37,55,-17,17,29,64,-25,26,20,73,0.030466707623037804,0.029722053264588377,0.029538933228107744,0.02658740434112544,0.02620814347134697,0.5000291988425799,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_CHI_CAR,2026-09-12 17:00:00+00:00,2026,1,CAR,CHI,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,22.233221567389037,23.511592232501375,22.265862316844775,23.527904651515204,-1.262042334670439,45.79376696835996,0.44604863352314006,0.03033721171144028,0.5236141547654196,0.46000386826270734,2.1738947626173046,1.8518651175940248,117.38947626173045,-117.38947626173045,1.262042334670439,1.5,0.5067944313881881,0.0,0.49320556861181186,45.5,0.5072779349165726,0.0,0.4927220650834274,0.013461663541088444,-2.220446049250313e-16,100,0,negative_latent_mass=0.0135 exceeds 0.01,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-10,8,37,55,-18,16,29,63,-27,24,20,72,0.03033721171144028,0.028843091054791804,0.03016213449819714,0.0249422555089319,0.027687070512895855,0.5000342626833253,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_CLE_JAX,2026-09-12 17:00:00+00:00,2026,1,JAX,CLE,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,25.746026777501427,15.186119770424702,25.756463512965315,15.381072360108877,10.375391152856437,41.137535873074185,0.7782618301695234,0.022234757832345343,0.19950341199813115,0.795959803647916,1.25634484984915,4.900995087626942,-390.099508762694,390.09950876269426,-10.375391152856437,-10.5,0.5002924727833219,0.0,0.4997075272166781,41.0,0.4843254438561859,0.029747462261092948,0.48592709388272115,0.047967606933825215,2.6645352591003757e-15,100,0,negative_latent_mass=0.0480 exceeds 0.01,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,2,19,32,50,-6,27,24,58,-15,35,16,67,0.022234757832345343,0.025828787366364268,0.017847976451504356,0.029470051561183288,0.012445688000780726,0.5001061555113466,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_NO_DET,2026-09-12 17:00:00+00:00,2026,1,DET,NO,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,25.142652690073582,20.660291440502643,25.155452115894384,20.701441542603096,4.454010573291285,45.856893658497484,0.6192264777690386,0.028757027717500532,0.35201649451346084,0.6375608322949369,1.5684777817991775,2.759083700395635,-175.90837003956358,175.90837003956355,-4.454010573291285,-4.5,0.4993484127510601,0.0,0.5006515872489399,46.0,0.47950235999666535,0.02952973919656798,0.49096790080676667,0.014768652463214448,1.5543122344752192e-15,100,0,negative_latent_mass=0.0148 exceeds 0.01,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-4,13,37,55,-12,21,29,63,-21,30,20,72,0.028757027717500532,0.0302290485374371,0.025854801379046857,0.029890131966850836,0.020756303437687494,0.5000337732264958,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_NYJ_TEN,2026-09-12 17:00:00+00:00,2026,1,TEN,NYJ,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,23.65866839609408,19.20507339099775,23.679505848994694,19.269062278573937,4.41044357042076,42.948568127568635,0.6183392446102843,0.02887558063080132,0.35278517475891435,0.6367250501351117,1.5705366072652585,2.7527359108353795,-175.27359108353792,175.27359108353798,-4.41044357042076,-4.5,0.4983439582213225,0.0,0.5016560417786775,43.0,0.4813841477899591,0.0295546809158175,0.48906117129422344,0.02232048243542315,3.3306690738754696e-16,100,0,negative_latent_mass=0.0223 exceeds 0.01,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-4,13,34,52,-12,21,26,60,-21,30,17,69,0.02887558063080132,0.03025755607398339,0.025901285295163674,0.029915821329199937,0.02081673921510393,0.5000766252416347,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
forecast-20260916T182937Z-1388f7,2026_01_TB_CIN,2026-09-12 17:00:00+00:00,2026,1,CIN,TB,2026-09-13 17:00:00+00:00,M1_ridge_alpha100,historical_reconstruction,kickoff_minus_24h,25.282767249799686,22.74619987041859,25.294978014012926,22.767277758507515,2.527700255505415,48.06225577252044,0.5616622060120692,0.029881136689766236,0.4084566572981646,0.5789622563317331,1.7272283107640458,2.3750839800906167,-137.50839800906166,137.50839800906166,-2.527700255505415,-2.5,0.5010758287146768,0.0,0.4989241712853232,48.0,0.4861231721310807,0.029520287138190656,0.48435654073072865,0.009520160706230857,1.7763568394002505e-15,100,0,,rest_missing,1,1,6a0abc279a98c4481f6d0fbd5dbb2858a7b99998cfafc54cd7f01f4a97015593,f7ac930f83aa81e2865317628439099f637faa7eceb8c35ec5eef35cd1d8f207,False,-6,11,39,57,-14,19,31,65,-23,28,22,75,0.029881136689766236,0.030393682716343125,0.027822395375510893,0.02871523009377833,0.0233642318648838,0.5000179769693062,2026-09-16 18:29:32.060802+00:00,historical_reconstruction,standard_reconstruction,2026-09-12 17:00:00+00:00
